CSP,Leg 1,Leg 2,Leg 3,Leg 4,Leg 5
AWS,19.485,44.026,706.746,85.408,165.3
AWS,19.549,92.704,719.1039999999999,512.0400000000001,100.619
AWS,20.062,47.51,760.063,69.846,76.45100000000001
AWS,18.599999999999998,42.217999999999996,788.474,98.265,168.927
AWS,17.252,40.013,704.218,72.60600000000001,81.67
AWS,28.61,65.29899999999999,689.068,126.1,88.468
AWS,22.669,45.996,704.553,80.428,94.72800000000001
AWS,22.459,42.806999999999995,688.75,86.45400000000001,120.522
AWS,19.639,44.796,678.596,81.947,83.168
AWS,22.415999999999997,41.452999999999996,770.058,90.84,94.291
AWS,22.575000000000003,50.215999999999994,682.624,86.488,86.892
AWS,23.017,52.267,792.952,72.83399999999999,81.433
AWS,35.285,51.254,715.827,164.646,147.959
AWS,19.851,42.681,702.025,216.78900000000002,87.086
AWS,24.447,60.455,710.721,109.07799999999999,100.036
AWS,20.712999999999997,46.478,704.333,92.02499999999999,80.415
AWS,24.244999999999997,42.145,705.379,127.47800000000001,85.935
AWS,26.793999999999997,59.077999999999996,689.0849999999999,83.423,89.735
AWS,22.133,43.094,682.3820000000001,89.51,100.155
AWS,23.959999999999997,43.957,692.553,164.50699999999998,104.502
AWS,19.043999999999997,44.161,680.023,137.52900000000002,141.96800000000002
AWS,21.365,45.836,699.1990000000001,83.03099999999999,95.826
AWS,20.712,50.491,681.7220000000001,141.506,86.09
AWS,23.265,59.698,716.072,82.79599999999999,84.971
AWS,20.795,51.145,691.878,87.743,90.81
AWS,20.942,117.576,719.58,116.915,90.813
AWS,20.476000000000003,43.168,703.8259999999999,88.332,126.79799999999999
AWS,20.761000000000003,52.33,688.78,85.892,86.065
AWS,29.406000000000002,43.17,711.483,85.444,70.925
AWS,21.127,45.407999999999994,693.408,86.06,75.16799999999999
AWS,25.548000000000002,43.674,716.5169999999999,184.481,73.652
AWS,20.417,102.598,693.217,165.77,169.186
AWS,20.868000000000002,47.403,693.1310000000001,81.739,81.94200000000001
AWS,20.66,94.601,702.557,82.592,533.454
AWS,24.04,42.73,685.392,96.343,88.962
AWS,21.115,43.702,702.8480000000001,98.376,79.96300000000001
AWS,28.942,47.265,711.052,70.392,90.27300000000001
AWS,24.031,48.099999999999994,715.624,86.8,81.356
AWS,24.399,47.895,712.9720000000001,97.523,92.315
AWS,21.864,57.855999999999995,682.8349999999999,81.74199999999999,101.522
